1 2 1 2 1, Mavila
2 1 2 2 1, Father
1 1 2 1 1 1 2, Mavila
1 2 1 2 1 2 1, Dicot
2 2 2 2 2 1, Machine
2 1 2 1 2 1 2, Orgone
3 1 3 1 3 1, Augmented
2 2 1 2 2 2 1, Meantone
2 1 2 1 2 1 2 1, Diminished
2 2 1 2 2 1 2 1, Father
2 1 2 1 2 1 2 1 1, Orwell
2 2 2 2 1 2 2 1, Hedgehog
2 2 1 2 1 2 1 2 1, Titanium
3 3 3 3 3, Blackwood
3 3 1 3 1 3 1, Hanson
3 1 3 1 3 1 3, Orgone
2 2 2 2 2 2 2 1, Porcupine
1 2 1 2 1 1 2 1 1 2 1, Orgone
1 4 1 4 1 4 1, Magic
3 3 1 3 3 3, Gorgo
2 2 2 1 2 2 2 2 1, Mavila
2 1 2 1 2 2 1 2 1 2, Lemba
3 3 1 3 3 3 1, Superpyth
3 2 3 2 3 2 2, Maqamic
2 2 1 2 2 1 2 2 2 1, Maqamic
1 2 1 2 1 2 1 2 1 2 2, Machine
4 4 1 4 4 1, Bicycle
3 1 3 3 1 3 3 1, Father
3 3 2 3 3 3 2, Meantone
2 3 2 2 3 2 3 2, Keemun
2 2 2 2 3 2 2 2 2, Negri
3 3 3 3 3 3 1, Deutone
3 3 1 3 1 3 1 3 1, Godzilla
5 1 5 1 5 1 1, Magic
4 1 4 1 4 1 4, Hanson
2 2 2 1 2 2 2 1 2 2 1, Sensi
3 2 3 2 2 3 2 2, Sensi
7 1 1 7 1 1 1, Liese
5 2 2 5 2 2 2, Mavila
3 1 3 1 3 1 3 1 3 1, Blackwood
2 3 2 2 3 2 2 3 2, Miracle
4 4 1 4 4 4 1, Superpyth
3 3 3 3 2 3 3 2, Hedgehog
3 2 3 2 3 2 3 2 2, Orwell
3 3 3 1 3 3 3 3 1, Mavila
2 2 2 3 2 2 3 2 2 3, Sephiroth
5 5 4 5 5, Godzilla
5 3 5 3 5 3, Triforce
4 3 3 4 3 3 4, Dastgah-e Sehgah / Maqam Nairuz
4 4 2 4 4 4 2, Meantone
4 3 4 3 4 3 3, Mohajira
4 4 3 4 4 4 3, Meantone
2 3 2 2 3 2 3 2 2 3 2, Orgone
2 2 2 2 2 3 2 2 2 2 2 3, Injera
5 5 1 5 5 5 1, Superpyth
4 4 4 4 4 4 7, Nusecond
5 5 3 5 5 5 3, Meantone
3 3 2 3 2 3 3 2 3 2 3 2, Meantone
4 3 4 3 4 3 4 3 3, Orwell
6 6 6 6 6 1, Mothra
5 1 5 1 5 1 5 1 5 1 1, Mothra
5 4 5 4 5 4 4, Mohajira
2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 1, Miracle
7 7 3 7 7 7 3, Schismatic
4 3 4 3 3 4 3 4 3 4 3 3, Schismatic
4 3 4 3 4 3 4 3 3, Miracle
3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 1, Magic
3 3 3 5 3 3 3 5 3 3 3 5 3 3 5, Hanson
4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3, Tricot
2 1 1 2 1 2 1 2 1, BP Lambda
2 1 1 2 1 2 1 1 2, BP Dur II
